case,gender,shootingType,race,city,state,date,year,injured,killed,casualties,locationType,weaponObtained,weaponType,weaponDetails,lat,long
Planned Parenthood clinic,Male,Mass,White,Colorado Springs,Colorado,11/27/2015,2015,9,3,12,Workplace,Unknown,Long gun,Reportedly an AK-47 style semiautomatic rifle and others. Authorities had not released details on Dear's weapons as of April 2016.,38.881031,-104.849057
Excel Industries mass shooting,Male,Mass,Black,Hesston,Kansas,2/25/2016,2016,14,3,17,Workplace,Unknown,"Semiautomatic rifle, semiautomatic handgun","Zastava Serbia AK-47-style rifle, Glock Model 22 .40-caliber handgun; high-capacity magazines (30 rounds)",38.135992,-97.425145
San Francisco UPS shooting,Male,Mass,Asian,San Francisco,California,6/14/2017,2017,2,3,5,Workplace,Unknown,two handguns,MAC-10-style “assault pistol”; 30-round magazine. An additional box of ammunition.,37.765947,-122.406087
Edgewood businees park shooting,Male,Mass,Black,Edgewood,Maryland,10/18/2017,2017,3,3,6,Workplace,Unknown,handgun,.380-caliber; make unclear,39.452189,-76.309988
Pennsylvania supermarket shooting,Male,Mass,White,Tunkhannock,Pennsylvania,6/7/2017,2017,0,3,3,Workplace,Unknown,shotguns,,41.529546,-75.94722
Florida awning manufacturer shooting,Male,Mass,White,Orlando,Florida,6/5/2017,2017,0,5,5,Workplace,Unknown,semiautomatic handgun,,28.580295,-81.294086
Rural Ohio nursing home shooting,Male,Mass,White,Kirkersville,Ohio,5/12/2017,2017,0,3,3,Workplace,Unknown,"handgun, shotgun",,39.959034,-82.596508
Yountville veterans home shooting,Male,Mass,Asian,Yountville,California,3/9/2018,2018,0,3,3,Workplace,Unknown,semiautomatic rifle; shotgun,,38.392496,-122.366528
Rite Aid warehouse shooting,Female,Mass,Black,Perryman,Maryland,9/20/2018,2018,3,3,6,Workplace,Unknown,semiautomatic handgun,Glock 9 mm,39.455658,-76.208485
Mercy Hospital shooting,Male,Mass,Latino,Chicago,Illinois,11/19/2018,2018,0,3,3,Workplace,Unknown,semiautomatic handgun,9mm handgun,41.847667,-87.622009
Fifth Third Center shooting,Male,Mass,Latino,Cincinnati,Ohio,9/6/2018,2018,2,3,5,Workplace,A local gun store,semiautomatic handgun,9mm handgun,39.101981,-84.511782
Capital Gazette shooting,Male,Mass,White,Annapolis,Maryland,6/28/2018,2018,2,5,7,Workplace,Unknown,shotgun,12-gauge pump-action shotgun,38.994548,-76.543657
T&T Trucking shooting,Male,Spree,Latino,Bakersfield,California,9/12/2018,2018,0,5,5,Workplace,Unknown,handgun,Smith & Wesson Model 500 (.50-caliber revolver),35.349388,-118.916335
Harry Pratt Co. warehouse shooting,Male,Mass,Black,Aurora,Illinois,2/15/2019,2019,6,5,11,Workplace,Unknown,handgun,"Smith & Wesson handgun, with a green sighting laser",41.753725,-88.331057
SunTrust bank shooting,Male,Mass,White,Sebring,Florida,1/23/2019,2019,0,5,5,Workplace,Unknown,handgun,9 mm handgun,27.471043,-81.45847
